Model,Loss (Hybrid),IoU,Dice Coefficient,Sensitivity,Specificity,Accuracy
U-Net++_CNN,0.10610149544237298,0.7233589291572571,0.8394756317138672,0.8223704695701599,0.9978237748146057,0.9950779676437378
U-Net_CNN,0.10378729966861425,0.717096745967865,0.8352432250976562,0.8097614645957947,0.9979455471038818,0.9950004816055298
Attention_U-Net_CNN,0.10636444428028205,0.715627133846283,0.8342455625534058,0.8328794836997986,0.9973950982093811,0.9948202967643738
